year,tract,pop,lpa,mhlth,obese
4,42101013500,3222,18.4,15.1,25.4
5,42101013500,4252,12.8,16.3,25.2
1,42101013601,2677,11.5,11.5,21.1
2,42101013601,2677,14.7,11.4,21.8
3,42101013601,2677,13,13.5,20.1
4,42101013601,2677,13.2,13.7,21
5,42101013601,2911,11,12.8,23.2
1,42101013602,3503,12.6,12.5,22.4
2,42101013602,3503,15.7,12.2,22.9
3,42101013602,3503,13.9,14.1,21.2
4,42101013602,3503,14.3,14.6,22.2
5,42101013602,3776,11.3,13.5,24.2
1,42101013700,4813,25.9,18.4,35.3
2,42101013700,4813,29.5,16.7,35
3,42101013700,4813,27.9,17.4,33.1
4,42101013700,4813,28.5,18.8,33.8
5,42101013701,2122,15.1,17.9,27.5
5,42101013702,3913,22.2,19.8,33.9
1,42101013800,2061,29.9,19.4,38.6
2,42101013800,2061,34.3,17.9,38.5
3,42101013800,2061,32.8,18.1,36.4
4,42101013800,2061,33.6,19.7,36.9
5,42101013800,2126,22,19.4,33.3
1,42101013900,3764,32.6,19.8,37.9
2,42101013900,3764,35.8,17.7,37.8
3,42101013900,3764,34.7,17.9,35.6
4,42101013900,3764,35.6,19.4,36.2
5,42101013900,2520,27,19.1,36.9
1,42101014000,3010,27.6,20.7,36.6
2,42101014000,3010,31.5,18.9,35.5
3,42101014000,3010,29.8,18.9,33.7
4,42101014000,3010,30.6,21.3,34.4
5,42101014000,5456,18,20.4,28.3
1,42101014100,2094,36.3,20.5,39.6
2,42101014100,2094,42.5,19.8,40.4
3,42101014100,2094,41.8,19,38.3
4,42101014100,2094,43.1,21.3,38.7
5,42101014100,3088,33.5,20.9,38.3
1,42101014200,3570,12.5,13.3,21.6
2,42101014200,3570,15.2,12.7,21.7
3,42101014200,3570,13.2,14.8,20.2
4,42101014200,3570,13.4,15.2,21.1
5,42101014201,3497,10.3,14.5,22.3
5,42101014202,2309,10,13.8,20.9
1,42101014300,1439,15.5,14.1,23.9
2,42101014300,1439,18.4,13.4,24.1
3,42101014300,1439,16.4,14.8,22.3
4,42101014300,1439,16.8,15.5,23.3
5,42101014300,1937,12.6,16,24.4
1,42101014400,3105,22.8,16.8,29.3
2,42101014400,3105,26.6,15.8,28.9
3,42101014400,3105,25.1,16.7,27
4,42101014400,3105,25.6,18,27.8
5,42101014400,5111,17.2,18.1,26.3
1,42101014500,2464,29.9,23.5,32.1
2,42101014500,2464,37.2,23.5,32.9
3,42101014500,2464,35.5,22.7,30.9
4,42101014500,2464,36.6,26.1,31.7
5,42101014500,2718,30.2,24.3,32
1,42101014600,4289,24.3,22.4,27.4
2,42101014600,4289,30,22.4,27.8
3,42101014600,4289,28.3,22.3,26
4,42101014600,4289,29.2,25.6,26.8
5,42101014600,7477,22.3,27.3,25.9
1,42101014700,3939,24.3,28.2,28.3
2,42101014700,3939,32.5,29.1,29
3,42101014700,3939,30.1,26.7,27.4
4,42101014700,3939,31.4,32.8,28.4
5,42101014700,4781,27.9,30.6,31.9
1,42101014800,785,40.9,24.3,43.5
2,42101014800,785,49.1,24.2,44.6
3,42101014800,785,48.3,22.2,42.4
4,42101014800,785,49.8,25.4,42.8
5,42101014800,1099,32.8,21.5,40.6
1,42101014900,3967,39.5,22.8,44
2,42101014900,3967,46.4,22.2,45.1
3,42101014900,3967,45.3,20.7,42.9
4,42101014900,3967,46.5,23.3,43.3
5,42101014900,3765,39.6,23.1,43.3
1,42101015101,2038,37.8,22.9,44.5
2,42101015101,2038,43.7,21.9,44.5
3,42101015101,2038,42.3,20.8,42.6
4,42101015101,2038,43.6,23.4,43.1
5,42101015101,2217,31.4,21.2,41.8
1,42101015102,4269,40.2,23.5,44.7
2,42101015102,4269,46.1,22.1,45
3,42101015102,4269,44.9,20.9,42.9
4,42101015102,4269,46.4,23.4,43.4
5,42101015102,4154,39.7,22.7,43.5
1,42101015200,6133,38.4,26,44.2
2,42101015200,6133,43.3,23.9,43.4
3,42101015200,6133,41.5,22.7,41.5
4,42101015200,6133,42.9,25.7,42
5,42101015200,5509,38.1,24.9,44.3
1,42101015300,4962,26.3,27.7,30.6
2,42101015300,4962,33.7,28,30.6
3,42101015300,4962,31.2,25.8,28.9
4,42101015300,4962,32.5,31.1,29.8
5,42101015300,7943,29.2,31,30.8
1,42101015600,1741,38.3,22.5,38.4
2,42101015600,1741,38.7,18.6,35.6
3,42101015600,1741,37.9,18.7,33.5
4,42101015600,1741,38.6,20.5,34.2
5,42101015600,1902,32.6,20.2,37
1,42101015700,2641,26.9,17.9,31.3
2,42101015700,2641,32.8,17.4,32.4
3,42101015700,2641,31.8,17.9,30.4
4,42101015700,2641,32.3,19.4,31.2
5,42101015700,2924,23.7,20.2,31.4
1,42101015800,5684,17.7,15.4,24.8
2,42101015800,5684,19.8,14.1,24.4
3,42101015800,5684,18,15.4,22.5
4,42101015800,5684,18.4,16,23.5
5,42101015800,6575,14.1,16.6,25.3
1,42101016000,7002,19.8,17.2,26.2
2,42101016000,7002,22.4,16.1,26
3,42101016000,7002,20.5,17.1,24.1
4,42101016000,7002,21.2,18.1,25.2
5,42101016001,2695,15.4,16.4,26.3
5,42101016002,4236,15.4,16.8,26.6
1,42101016100,5590,24.8,17.7,28
2,42101016100,5590,26.9,15.6,27.2
3,42101016100,5590,25.4,16.5,25.4
4,42101016100,5590,25.8,17.6,26.2
5,42101016100,6583,16.4,16.8,26.6
1,42101016200,2225,35.2,19.9,36.1
2,42101016200,2225,39.5,17.9,35.8
3,42101016200,2225,39.1,18.3,33.6
4,42101016200,2225,39.7,20,34.3
5,42101016200,2078,35.2,20.1,37
1,42101016300,3248,42.1,23.3,38.6
2,42101016300,3248,48.4,21.9,39.2
3,42101016300,3248,48.2,21.1,37
4,42101016300,3248,49.2,23.6,37.6
5,42101016300,3243,38.6,21.2,37.2
1,42101016400,4564,39.9,22.4,40.9
2,42101016400,4564,44,20.2,40.4
3,42101016400,4564,43.6,20,38.2
4,42101016400,4564,44.5,22,38.8
5,42101016400,4181,48.8,24.8,44.6
1,42101016500,2758,46.3,28.8,47.9
2,42101016500,2758,48,24.6,45.3
3,42101016500,2758,46.5,22.8,43.3
4,42101016500,2758,48.2,26.1,43.7
5,42101016500,2477,41.5,24.2,46.2
1,42101016600,1788,32,23.5,39.1
2,42101016600,1788,35.3,21,37.4
3,42101016600,1788,33.3,20.7,35.6
4,42101016600,1788,34.1,23,36.2
5,42101016600,1838,30.6,24.4,36.1
1,42101016701,3055,36.3,22.4,42.1
2,42101016701,3055,42,21,42.5
3,42101016701,3055,40.6,20.2,40.5
4,42101016701,3055,41.5,22.5,41
5,42101016701,2833,29.9,20.7,41.8
1,42101016702,2903,36.8,23.5,41.4
2,42101016702,2903,45.2,23.6,42.9
3,42101016702,2903,43.6,21.8,40.8
4,42101016702,2903,44.9,24.9,41.3
5,42101016702,2908,39.5,25.4,44.8
1,42101016800,3935,38.7,23.4,44.8
2,42101016800,3935,44.3,21.6,44.9
3,42101016800,3935,42.9,20.5,42.8
4,42101016800,3935,44.2,23,43.4
5,42101016800,3565,40.7,24,48
1,42101016901,3466,35.7,21.7,43.3
2,42101016901,3466,39.1,19.3,42.1
3,42101016901,3466,37.7,19,40
4,42101016901,3466,38.6,20.9,40.6
5,42101016901,3125,33.7,19.9,42.7
1,42101016902,5524,40.2,24,45.3
2,42101016902,5524,46.7,22.5,45.6
3,42101016902,5524,45.2,21,43.5
4,42101016902,5524,46.6,23.6,44
5,42101016902,5030,37.3,22.3,45.7
1,42101017000,2953,24.2,17.2,34.5
2,42101017000,2953,27.4,15.7,33.7
3,42101017000,2953,25.7,16.7,31.8
4,42101017000,2953,26.1,17.8,32.4
5,42101017000,3126,25.3,19.2,36.2
1,42101017100,4047,32.6,19.6,40.2
2,42101017100,4047,38.6,18.8,41.4
3,42101017100,4047,37.6,18.9,39.1
4,42101017100,4047,38.4,20.4,39.6
5,42101017100,3722,39.1,22.1,45
1,42101017201,3194,31.2,18.5,39.2
2,42101017201,3194,37.9,18.4,41.1
3,42101017201,3194,36.9,18.5,38.9
4,42101017201,3194,37.6,19.9,39.4
5,42101017201,2903,39.6,21.9,44.3
1,42101017202,4056,40.6,23.5,44.9
2,42101017202,4056,46.3,22.1,44.8
3,42101017202,4056,45.1,20.8,42.6
4,42101017202,4056,46.4,23.3,43.1
5,42101017202,3729,36,21.2,43.7
1,42101017300,3165,37.9,22.3,44.5
2,42101017300,3165,44.3,21.4,45.1
3,42101017300,3165,42.8,20.1,43
4,42101017300,3165,44.1,22.6,43.4
5,42101017300,2872,39.4,21.1,46.2
1,42101017400,2419,41,24.3,45.7
2,42101017400,2419,42.3,20.4,42.8
3,42101017400,2419,40.9,19.8,40.6
4,42101017400,2419,41.9,21.9,41.2
5,42101017400,2307,40.6,23,44.9
1,42101017500,7016,44.9,25.3,42.6
2,42101017500,7016,52.2,24,43.3
3,42101017500,7016,51.9,22.5,41.2
4,42101017500,7016,53.1,25.4,41.7
5,42101017500,6711,47.1,23.9,44.5
1,42101017601,5562,43,23.1,40.4
2,42101017601,5562,51,22.6,41.7
3,42101017601,5562,51,21.6,39.5
4,42101017601,5562,51.9,24.3,40.1
5,42101017601,5027,47.3,22.7,43.2
1,42101017602,3914,47.1,27.2,43.4
2,42101017602,3914,53.9,25.4,43.7
3,42101017602,3914,53.3,23.5,41.6
4,42101017602,3914,54.7,26.9,42.2
5,42101017602,3573,48.9,24.8,44.2
1,42101017701,3705,41.2,26.7,40.3
2,42101017701,3705,48.2,25.4,40.3
3,42101017701,3705,47,24,38.3
4,42101017701,3705,48.3,27.2,39
5,42101017701,3552,40.4,24,39.4
1,42101017702,5076,45.1,27.3,42.5
2,42101017702,5076,51.6,25.6,42.7
3,42101017702,5076,50.8,23.7,40.7
4,42101017702,5076,52.1,27.2,41.3
5,42101017702,4582,47.5,26,43.8
1,42101017800,6704,39.9,26.2,39.5
2,42101017800,6704,46.5,24.9,39.7
3,42101017800,6704,45.1,23.3,37.7
4,42101017800,6704,46.5,26.5,38.4
5,42101017800,6246,38.9,23.4,41.3
1,42101017900,6313,33.5,23.5,35.5
2,42101017900,6313,37.7,21.3,34.9
3,42101017900,6313,36,20.7,32.8
4,42101017900,6313,37,22.9,33.8
5,42101017900,6152,34.1,23.6,38.7
1,42101018001,2586,23,18,28
2,42101018001,2586,26.8,17.1,27.8
3,42101018001,2586,24.8,17.6,25.7
4,42101018001,2586,25.6,18.6,26.9
5,42101018001,2485,21.9,19,30.4
1,42101018002,5451,24.2,18.9,28.4
2,42101018002,5451,28,17.7,28.4
3,42101018002,5451,25.9,17.9,26.2
4,42101018002,5451,26.8,19.1,27.4
5,42101018002,5439,22,19.8,30.5
1,42101018300,4313,22.2,16.6,26.5
2,42101018300,4313,26.1,16.3,27
3,42101018300,4313,24.3,16.9,24.8
4,42101018300,4313,25,17.7,26.1
5,42101018300,4326,20.3,17.4,28
1,42101018400,2260,23.1,18.2,27.8
2,42101018400,2260,27.1,17.3,28.2
3,42101018400,2260,25,17.7,26
4,42101018400,2260,25.8,18.7,27.3
5,42101018400,2278,22.7,19,31.3
1,42101018800,8322,38.4,25.4,39
2,42101018800,8322,44,23.7,38.8
3,42101018800,8322,42.4,22.4,36.8
4,42101018800,8322,43.7,25.2,37.6
5,42101018801,4445,52.5,28.9,47.5
5,42101018802,3570,37.8,23.5,40.8
1,42101019000,7543,32.8,20.6,34.9
2,42101019000,7543,39.3,19.8,35.6
3,42101019000,7543,38,19.7,33.5
4,42101019000,7543,38.7,21.6,34.4
5,42101019000,7806,42.5,23.5,40.7
1,42101019100,7937,32.7,18.4,31.9
2,42101019100,7937,37.3,17.1,32.1
3,42101019100,7937,36.5,17.6,29.9
4,42101019100,7937,37,18.8,30.8
5,42101019100,8237,34.5,19.1,33.7
1,42101019200,7972,39.5,24.6,39.2
2,42101019200,7972,45.1,22.8,38.9
3,42101019200,7972,44.1,21.9,36.9
4,42101019200,7972,45.1,24.6,37.6
5,42101019200,7661,45,24.9,44.1
1,42101019501,4927,42,23.3,39.8
2,42101019501,4927,46.5,20.9,39
3,42101019501,4927,46.3,20.6,36.9
4,42101019501,4927,47.1,22.9,37.6
5,42101019501,4689,46.2,22.6,42.7
1,42101019502,3675,43.7,25.5,40.5
2,42101019502,3675,51.8,24.5,41.7
3,42101019502,3675,51.4,23.1,39.5
4,42101019502,3675,52.7,26.2,40.2
5,42101019502,3494,49.3,25.1,44.3
1,42101019700,7001,37.6,21.9,39
2,42101019700,7001,41.5,19.8,39
3,42101019700,7001,41.1,19.9,36.8
4,42101019700,7001,41.7,21.8,37.5
5,42101019700,6416,49.2,24.7,45.4
1,42101019800,6195,41.2,23.1,41
2,42101019800,6195,45.9,21,40.8
3,42101019800,6195,45.3,20.5,38.6
4,42101019800,6195,46.3,22.8,39.3
5,42101019800,5763,34.1,18.6,38
1,42101019900,4419,43.7,24.9,43.2
2,42101019900,4419,48.2,22.5,42.6
3,42101019900,4419,47.5,21.4,40.5
4,42101019900,4419,48.7,24.1,41
5,42101019900,4389,45,23.4,44
1,42101020000,1265,35.9,23.5,40.2
2,42101020000,1265,41.9,22.3,40.2
3,42101020000,1265,40.3,21.1,38.3
4,42101020000,1265,41.5,23.8,38.8
5,42101020000,1277,41.6,25.1,45.4
1,42101020101,3547,36.8,22.1,42.4
2,42101020101,3547,44.3,21.6,43.8
3,42101020101,3547,43,20.3,41.8
4,42101020101,3547,44.5,22.9,42.2
5,42101020101,3750,36.9,21.4,43.3
1,42101020102,3353,30.4,18.7,38.5
2,42101020102,3353,37,18.4,39.8
3,42101020102,3353,35.6,18.5,37.7
4,42101020102,3353,36.3,20,38.3
5,42101020102,3490,35.6,21.5,43
1,42101020200,5189,38.8,22.5,44.3
2,42101020200,5189,40.6,19,41.7
3,42101020200,5189,39.3,18.6,39.6
4,42101020200,5189,40.3,20.3,40.1
5,42101020200,4932,28.6,17.9,38.7
1,42101020300,2769,38.4,22.9,44.1
2,42101020300,2769,41.6,20.3,42.4
3,42101020300,2769,40.4,19.8,40.3
4,42101020300,2769,41.3,21.7,40.9
5,42101020300,2786,34.2,20.4,41.6
1,42101020400,3050,37.8,22.7,44.2
2,42101020400,3050,43.7,21.5,44.5
3,42101020400,3050,42.3,20.4,42.4
4,42101020400,3050,43.6,22.9,43
5,42101020400,3052,38.4,22.5,45.7
1,42101020500,2819,35.5,19.1,40
2,42101020500,2819,42.4,18.9,41.3
3,42101020500,2819,41.6,18.4,39
4,42101020500,2819,42.7,20.1,39.6
5,42101020500,2728,37.2,19.9,41.5
1,42101020600,1819,19.4,16,26.8
2,42101020600,1819,21.7,14.3,26.4
3,42101020600,1819,20.2,15.6,24.6
4,42101020600,1819,20.7,16.7,25.5
5,42101020600,2043,15.7,18.4,25.8
1,42101020700,5841,13.8,14.2,22.2
2,42101020700,5841,16.4,13.6,22.3
3,42101020700,5841,14.5,15.4,20.6
4,42101020700,5841,14.9,16.2,21.5
5,42101020701,3863,11.7,14.3,24.7
5,42101020702,2464,13.2,17.3,23.9
1,42101020800,1971,15.6,14.6,22.5
2,42101020800,1971,18.9,14.1,23.3
3,42101020800,1971,17.5,15.7,21.6
4,42101020800,1971,18,17,22.4
5,42101020800,2490,16.3,17.6,26
1,42101020900,2910,14.5,15.3,22.5
2,42101020900,2910,17.1,14.4,22.3
3,42101020900,2910,15,16,20.7
4,42101020900,2910,15.5,17,21.7
5,42101020900,3165,12.9,16.6,24.8
1,42101021000,4917,16,16.2,22.7
2,42101021000,4917,19.3,15.7,22.6
3,42101021000,4917,17.2,16.9,21
4,42101021000,4917,17.8,18.2,22
5,42101021000,5470,14.1,17.5,24.9
1,42101021100,2327,15.8,13.6,23.7
2,42101021100,2327,18.8,13.1,23.8
3,42101021100,2327,17.1,14.6,22
4,42101021100,2327,17.6,15.1,23
5,42101021100,2656,15.9,17,26.4
1,42101021200,2245,16.8,15,24.2
2,42101021200,2245,20.3,14.5,24.6
3,42101021200,2245,18.4,15.8,22.7
4,42101021200,2245,18.8,16.4,23.7
5,42101021200,2423,16.1,16.7,26.5
1,42101021300,3551,15.9,15.2,23.7
2,42101021300,3551,18.3,14.2,23.5
3,42101021300,3551,16.4,15.7,21.9
4,42101021300,3551,16.8,16.4,22.8
5,42101021300,3573,14.8,17.1,25.9
1,42101021400,3880,15.2,17,22.7
2,42101021400,3880,18.1,15.9,22
3,42101021400,3880,15.9,17.3,20.6
4,42101021400,3880,16.4,18.7,21.5
5,42101021400,4217,11.7,16.7,23.2
1,42101021500,3857,14.6,15.2,22.4
2,42101021500,3857,17.6,14.7,22.7
3,42101021500,3857,15.6,16.2,21.1
4,42101021500,3857,16.2,17.2,22.1
5,42101021500,4135,13.9,17.2,24.8
1,42101021600,1826,16.2,14.5,24.1
2,42101021600,1826,21.2,14.9,25.1
3,42101021600,1826,19.3,16.1,23.3
4,42101021600,1826,19.8,16.9,24.3
5,42101021600,2251,15.4,16.1,25.7
1,42101021700,5772,17.7,13.7,24.1
2,42101021700,5772,20.6,12.9,24.7
3,42101021700,5772,19.1,14.4,22.6
4,42101021700,5772,19.4,14.6,23.7
5,42101021700,5783,18.7,16.3,28
1,42101021800,4259,17.4,16,24.1
2,42101021800,4259,21,15.6,24.3
3,42101021800,4259,19,16.8,22.6
4,42101021800,4259,19.6,17.9,23.5
5,42101021800,4424,19.2,18.8,29.4
1,42101021900,1432,16.8,13.2,24.4
2,42101021900,1432,20.4,12.9,25.3
3,42101021900,1432,18.9,14.4,23.2
4,42101021900,1432,19.3,14.6,24.4
5,42101021900,1492,19.6,16.1,28.9
1,42101022000,1681,18.5,10,20.5
2,42101022000,1681,19.9,9.1,20.8
3,42101022000,1681,19.3,10.5,18.8
4,42101022000,1681,19.6,10.4,19.6
5,42101022000,1446,18,11.7,23.6
1,42101023100,1262,12.3,10.4,22
2,42101023100,1262,15.6,10.4,23.2
3,42101023100,1262,14.2,12.3,21.1
4,42101023100,1262,14.4,12.1,22.2
5,42101023100,1285,12.6,11.8,23.8
1,42101023500,1161,17.4,12.4,27.8
2,42101023500,1161,21.4,12.1,28.7
3,42101023500,1161,20.2,13.5,26.6
4,42101023500,1161,20.6,13.8,27.5
5,42101023500,1108,16.3,13,27
1,42101023600,2619,17.2,11.5,26.3
2,42101023600,2619,19.9,10.8,26.4
3,42101023600,2619,18.9,12.5,24.3
4,42101023600,2619,19.1,12.5,25.2
5,42101023600,2698,16.2,12.3,27
1,42101023700,4566,19.4,13,29
2,42101023700,4566,22.9,12.2,30.2
3,42101023700,4566,21.8,13.9,28.1
4,42101023700,4566,22,14.1,28.7
5,42101023700,4850,21.9,15.3,33.2
1,42101023800,4391,21.1,13.7,30.3
2,42101023800,4391,25.2,13.1,31.4
3,42101023800,4391,24.1,14.6,29.4
4,42101023800,4391,24.5,15,30
5,42101023800,4441,22.1,16.6,33.6
1,42101023900,1777,23.6,14.9,33.4
2,42101023900,1777,29.4,14.8,34.8
3,42101023900,1777,28,15.5,32.8
4,42101023900,1777,29,16.8,33.3
5,42101023900,1857,26.8,19,33.4
1,42101024000,3822,20.8,15.7,31.1
2,42101024000,3822,25.5,15.2,31.7
3,42101024000,3822,24,16.4,29.8
4,42101024000,3822,24.5,17.5,30.5
5,42101024000,3808,20,16.5,32.6
1,42101024100,1433,40.2,19.5,43.1
2,42101024100,1433,46.7,18.6,44.2
3,42101024100,1433,46,17.1,42
4,42101024100,1433,47.5,19.2,42.3
5,42101024100,1343,37.1,18.1,41.2
1,42101024200,4236,29.1,20.2,38.4
2,42101024200,4236,34,18.8,38.6
3,42101024200,4236,32.4,19.1,36.5
4,42101024200,4236,33.3,20.8,37.2
5,42101024200,4113,31.6,21.4,41.6
1,42101024300,3913,27.5,18.6,38
2,42101024300,3913,32.4,17.8,38.4
3,42101024300,3913,30.9,18.2,36.4
4,42101024300,3913,31.5,19.8,37
5,42101024300,3878,25,18.4,37.3
1,42101024400,3129,30.7,20.1,40.2
2,42101024400,3129,37.9,19.8,41.6
3,42101024400,3129,36.3,19.5,39.5
4,42101024400,3129,37.2,21.5,40
5,42101024400,3152,24.3,16.8,37.9
1,42101024500,4035,35.8,22.9,43.6
2,42101024500,4035,42.3,22,43.6
3,42101024500,4035,40.7,21.1,41.5
4,42101024500,4035,42,23.6,42
5,42101024500,4251,37.1,22,42.7
1,42101024600,2956,39,24.7,44.8
2,42101024600,2956,46,23.6,45.2
3,42101024600,2956,44.5,21.8,43.1
4,42101024600,2956,45.9,24.8,43.6
5,42101024600,2956,34.8,21.8,42.8
1,42101024700,4423,31.2,20.3,39.7
2,42101024700,4423,34,18,38.9
3,42101024700,4423,32.5,18.3,36.9
4,42101024700,4423,33.2,19.9,37.4
5,42101024700,4489,28.9,19.9,40.6
1,42101024800,1889,31.1,18.8,40
2,42101024800,1889,35.2,17.3,39.9
3,42101024800,1889,33.9,17.7,37.7
4,42101024800,1889,34.6,19,38.3
5,42101024800,1912,33,20.7,42.9
1,42101024900,3311,36.1,21.8,43.4
2,42101024900,3311,43.6,21.3,44.7
3,42101024900,3311,42.3,20.3,42.6
4,42101024900,3311,43.6,22.7,43.1
5,42101024900,3412,40.6,23.5,46.8
1,42101025200,7118,34.7,21.3,41.4
2,42101025200,7118,39.2,19.5,41.1
3,42101025200,7118,37.9,19.2,39
4,42101025200,7118,39,21.1,39.5
5,42101025200,7267,33.5,21,42.9
1,42101025300,4002,30.2,18.7,38.8
2,42101025300,4002,35.4,17.8,39.6
3,42101025300,4002,34,18.1,37.4
4,42101025300,4002,34.8,19.5,38.1
5,42101025300,3859,25.3,18.4,39
1,42101025400,3920,23.6,14,33.8
2,42101025400,3920,28.5,13.7,35.3
3,42101025400,3920,27.7,14.9,33.1
4,42101025400,3920,28.1,15.4,33.7
5,42101025400,4152,25.6,16.5,37
1,42101025500,2571,20.5,13.8,31.1
2,42101025500,2571,22.2,12.1,30.5
3,42101025500,2571,20.9,13.8,28.4
4,42101025500,2571,21.2,14,29.1
5,42101025500,2667,18.5,14.5,31
1,42101025600,2742,17.4,12.3,27.4
2,42101025600,2742,21.3,12,28.3
3,42101025600,2742,20,13.7,26.2
4,42101025600,2742,20.3,13.7,27
5,42101025600,2609,16.8,12.9,28.6
1,42101025700,3463,17.6,14,26.3
2,42101025700,3463,20.4,13.2,26.4
3,42101025700,3463,19,15,24.5
4,42101025700,3463,19.3,15.4,25.4
5,42101025700,3456,15.4,14.2,27.2
1,42101025800,1681,25.5,14.4,35.5
2,42101025800,1681,29.3,13,36
3,42101025800,1681,28.6,14.4,33.7
4,42101025800,1681,29,14.7,34.3
5,42101025800,1663,31.4,16.9,38.8
1,42101025900,4755,25.9,16.1,37.2
2,42101025900,4755,30.5,15.1,37.8
3,42101025900,4755,29.5,16.3,35.6
4,42101025900,4755,30,17,36.2
5,42101025900,4674,26,16.9,38.2
1,42101026000,2788,25,14.8,36.5
2,42101026000,2788,28.7,13.8,36.8
3,42101026000,2788,27.9,15.1,34.5
4,42101026000,2788,28.1,15.6,35.2
5,42101026000,2850,24.3,15.5,37
1,42101026100,2995,28.4,15.5,38.1
2,42101026100,2995,31.5,13.9,38.3
3,42101026100,2995,30.8,14.9,35.9
4,42101026100,2995,31.2,15.5,36.4
5,42101026100,3060,23.4,13.9,34.9
1,42101026200,4065,25.9,14.8,36.5
2,42101026200,4065,30.4,14,37.9
3,42101026200,4065,29.7,15.1,35.6
4,42101026200,4065,30.1,15.7,36.1
5,42101026200,4076,29.3,15.9,39
1,42101026301,3840,28.6,17.2,39
2,42101026301,3840,33.2,16.2,39.4
3,42101026301,3840,32.2,16.9,37.2
4,42101026301,3840,32.8,17.9,37.8
5,42101026301,3726,25.1,15.9,38.4
1,42101026302,5480,26.2,16.1,36.2
2,42101026302,5480,30.1,15,36.8
3,42101026302,5480,29,16.2,34.6
4,42101026302,5480,29.3,16.8,35.2
5,42101026302,5353,23.2,16.6,37.2
1,42101026400,5241,25.6,15.2,36.4
2,42101026400,5241,28.6,13.9,36.2
3,42101026400,5241,27.7,15.3,33.8
4,42101026400,5241,27.8,15.7,34.4
5,42101026400,5199,27.3,17.3,38.9
1,42101026500,4340,29.9,18,38.7
2,42101026500,4340,34,16.6,39
3,42101026500,4340,32.8,17.3,36.8
4,42101026500,4340,33.2,18.3,37.4
5,42101026500,4285,33.4,20.5,42.3
1,42101026600,6667,30.2,18,39.7
2,42101026600,6667,34.2,16.5,40
3,42101026600,6667,33.1,17.1,37.8
4,42101026600,6667,33.8,18.3,38.3
5,42101026600,6409,33.6,19.5,42.6
1,42101026700,6565,32.8,19.4,40.7
2,42101026700,6565,36.6,17.5,40.6
3,42101026700,6565,35.6,17.9,38.4
4,42101026700,6565,36.4,19.3,38.9
5,42101026700,6617,31,19.1,41.2
1,42101026800,4647,29.2,17.9,37.4
2,42101026800,4647,34.2,16.8,38.3
3,42101026800,4647,32.9,17.2,36.1
4,42101026800,4647,33.6,18.5,36.7
5,42101026800,4651,29.2,18,38.8
1,42101026900,2199,27.3,15.6,33.5
2,42101026900,2199,30.3,14,33
3,42101026900,2199,29.4,14.9,30.8
4,42101026900,2199,29.8,15.6,31.5
5,42101026900,2231,24.6,15,35
1,42101027000,2326,23.1,15,32.9
2,42101027000,2326,27.2,14.1,33.5
3,42101027000,2326,25.9,15.3,31.5
4,42101027000,2326,26.3,15.9,32
5,42101027000,2270,20.4,14.6,33
1,42101027100,2453,27.6,16.7,31.4
2,42101027100,2453,30.6,14.9,31.1
3,42101027100,2453,29.6,15.8,29.1
4,42101027100,2453,29.9,16.6,29.7
5,42101027100,2353,25.5,15.4,31.8
1,42101027200,4278,26.3,17.2,35.3
2,42101027200,4278,31.7,17,36.6
3,42101027200,4278,30.3,17.8,34.6
4,42101027200,4278,30.8,18.9,35.3
5,42101027200,4256,27.7,18,37.9
1,42101027300,6069,30,18.3,31.4
2,42101027300,6069,35.2,17.3,31.9
3,42101027300,6069,34,17.6,30
4,42101027300,6069,34.4,18.9,30.7
5,42101027300,5951,35.1,20,35.6
1,42101027401,3457,30.4,18.1,30.6
2,42101027401,3457,35.5,17.1,30.7
3,42101027401,3457,34.5,17.3,28.8
4,42101027401,3457,35,18.7,29.4
5,42101027401,3298,40.1,20.6,36.6
1,42101027402,6800,29.8,19.4,33.9
2,42101027402,6800,36.7,19.4,35.2
3,42101027402,6800,35.4,19.4,33.3
4,42101027402,6800,36,21.2,34
5,42101027402,6499,34.8,21.4,37.7
1,42101027500,4489,27.3,17.6,33.6
2,42101027500,4489,34.4,17.7,35.3
3,42101027500,4489,33.1,18,33.4
4,42101027500,4489,33.6,19.4,34
5,42101027500,4503,29.3,18.1,36.5
1,42101027600,3600,30,19.6,39.2
2,42101027600,3600,35.7,18.6,40.1
3,42101027600,3600,34.2,18.9,38
4,42101027600,3600,34.8,20.4,38.6
5,42101027600,3546,31.9,19.5,41.9
1,42101027700,4788,36.7,19.8,39.6
2,42101027700,4788,39.8,17.7,39.2
3,42101027700,4788,39.1,17.8,37
4,42101027700,4788,40.1,19.2,37.4
5,42101027700,4918,36.3,19.1,41.3
1,42101027800,4481,31,18.3,38.6
2,42101027800,4481,36.3,17.3,39.5
3,42101027800,4481,35.1,17.6,37.3
4,42101027800,4481,35.7,18.9,37.8
5,42101027800,4655,34.1,20.3,42.7
1,42101027901,3827,29.1,18.1,38.1
2,42101027901,3827,35.2,17.6,39.6
3,42101027901,3827,33.9,18.1,37.4
4,42101027901,3827,34.6,19.5,38
5,42101027901,3796,32.2,20.7,42.4
1,42101027902,3873,24.2,24.2,29.3
2,42101027902,3873,29.5,23.7,29.6
3,42101027902,3873,27.5,23.3,27.8
4,42101027902,3873,28.3,27,28.7
5,42101027902,3572,32.7,26.4,38.6
1,42101028000,4272,35.4,21.5,42.9
2,42101028000,4272,37.9,19,41.5
3,42101028000,4272,36.6,19,39.3
